DEMO	DEMO	DE0419020	2019-04-01	22125,39	0	2019-04-06
2515	028B	0419515017	2019-04-01	80112.42	0	2019-05-06
2515	029B	0419515018	2019-04-01	177266.11	0	2019-05-06
2515	031B	0419515019	2019-04-01	279405.24	0	2019-05-06
2515	032B	0419515020	2019-04-01	73297.09	0	2019-05-06
2515	033B	0419515021	2019-04-01	78684.02	0	2019-05-06
2515	034B	0419515022	2019-04-01	78684.02	0	2019-05-06
2515	035B	0419515023	2019-04-01	78684.02	0	2019-05-06
2515	036B	0419515024	2019-04-01	78684.02	0	2019-05-06
2515	037B	1118515025	2018-11-01	13566.74	0	2018-12-01
2515	037B	0219515025	2019-02-01	65496.91	0	2019-03-01
2515	037B	0818515025	2018-08-01	921.08	0	2018-09-05
2515	037B	0618515025	2018-06-01	359.64	0	2018-07-05
2515	037B	0718515025	2018-07-01	320.75	0	2018-08-08
2515	037B	0918515025	2018-09-01	2280.3	0	2018-10-09
2515	037B	1018515025	2018-10-01	4599.59	0	2018-11-01
2515	037B	1218515025	2018-12-01	12132.23	0	2018-12-17
2515	037B	0119515025	2019-01-01	82842.61	0	2019-02-11
2515	037B	0319515025	2019-03-01	60221.62	0	2019-04-08
2515	037B	0419515025	2019-04-01	180824.81	0	2019-05-06
2515	041B	0419515026	2019-04-01	204587.43	0	2019-05-06
2515	042B	0319515027	2019-03-01	23786.13	0	2019-04-08
2515	042B	0419515027	2019-04-01	73297.09	0	2019-05-06
2515	043B	0319515028	2019-03-01	23786.13	0	2019-04-08
2515	043B	0419515028	2019-04-01	73297.09	0	2019-05-06
2515	044B	0419515029	2019-04-01	73297.09	0	2019-05-06
2515	045B	0419515030	2019-04-01	78684.02	0	2019-05-06
2515	046B	0319515031	2019-03-01	23786.13	0	2019-04-08
2515	046B	0419515031	2019-04-01	73297.09	0	2019-05-06
2515	047B	0119515032	2019-01-01	82818.9	725.91	2019-02-11
2515	047B	0219515032	2019-02-01	63757.45	0	2019-03-01
2515	047B	0319515032	2019-03-01	57525.8	0	2019-04-08
2515	047B	0419515032	2019-04-01	177266.11	0	2019-05-06
2515	051B	0119515033	2019-01-01	129780.75	1433.19	2019-02-11
2515	051B	0219515033	2019-02-01	100493.93	0	2019-03-01
2515	051B	0319515033	2019-03-01	90671.66	0	2019-04-08
2515	051B	0419515033	2019-04-01	279405.24	0	2019-05-06
2515	052B	0119515034	2019-01-01	34045.73	11450.02	2019-02-11
2515	052B	0219515034	2019-02-01	26362.84	20000	2019-03-01
2515	052B	0319515034	2019-03-01	24820.5	0	2019-04-08
2515	052B	0419515034	2019-04-01	73297.09	0	2019-05-06
2515	053B	1118515035	2018-11-01	5557.7	0	2018-12-01
2515	053B	0918515035	2018-09-01	933.06	0	2018-10-09
2515	053B	1218515035	2018-12-01	4881.18	0	2018-12-17
2515	053B	0119515035	2019-01-01	34045.73	0	2019-02-11
2515	053B	0219515035	2019-02-01	27044.1	0	2019-03-01
2515	053B	0319515035	2019-03-01	24862.83	0	2019-04-08
2515	053B	0419515035	2019-04-01	74730.59	0	2019-05-06
2515	054B	0419515036	2019-04-01	78684.02	0	2019-05-06
2515	055B	0419515037	2019-04-01	177266.11	0	2019-05-06
2515	061B	0419515038	2019-04-01	204587.43	0	2019-05-06
2515	062B	1118515039	2018-11-01	6022.99	0	2018-12-01
2515	062B	0119515039	2019-01-01	36772.85	0	2019-02-11
2515	062B	1018515039	2018-10-01	2042.67	0	2018-11-01
2515	062B	0214515039	2014-02-01	0.02	0	2014-03-13
2515	062B	0314515039	2014-03-01	0.02	0	2014-04-01
2515	062B	0414515039	2014-04-01	0.02	0	2014-05-08
2515	062B	0514515039	2014-05-01	0.02	0	2014-06-04
2515	062B	0614515039	2014-06-01	0.02	0	2014-06-30
2515	062B	0714515039	2014-07-01	0.03	0	2014-07-31
2515	062B	0814515039	2014-08-01	0.03	0	2014-09-04
2515	062B	0914515039	2014-09-01	0.03	0	2014-10-07
2515	062B	1014515039	2014-10-01	0.03	0	2014-11-10
2515	062B	1114515039	2014-11-01	0.04	0	2014-12-02
2515	062B	1214515039	2014-12-01	0.05	0	2014-12-10
2515	062B	0115515039	2015-01-01	0.04	0	2015-02-10
2515	062B	0215515039	2015-02-01	0.04	0	2015-03-10
2515	062B	0315515039	2015-03-01	0.05	0	2015-04-07
2515	062B	0415515039	2015-04-01	0.05	0	2015-05-05
2515	062B	0515515039	2015-05-01	0.06	0	2015-06-05
2515	062B	0615515039	2015-06-01	0.07	0	2015-07-03
2515	062B	0715515039	2015-07-01	0.04	0	2015-08-05
2515	062B	0815515039	2015-08-01	0.07	0	2015-09-02
2515	062B	0915515039	2015-09-01	0.06	0	2015-10-02
2515	062B	1015515039	2015-10-01	0.1	0	2015-11-11
2515	062B	1115515039	2015-11-01	0.12	0	2015-12-03
2515	062B	1215515039	2015-12-01	0.07	0	2015-12-15
2515	062B	0116515039	2016-01-01	0.12	0	2016-02-12
2515	062B	0216515039	2016-02-01	0.11	0	2016-03-02
2515	062B	0316515039	2016-03-01	0.12	0	2016-04-05
2515	062B	0416515039	2016-04-01	0.24	0	2016-05-06
2515	062B	0516515039	2016-05-01	0.14	0	2016-06-08
2515	062B	0616515039	2016-06-01	0.13	0	2016-07-06
2515	062B	0716515039	2016-07-01	0.12	0	2016-08-04
2515	062B	0816515039	2016-08-01	0.66	0	2016-09-07
2515	062B	0916515039	2016-09-01	0.29	0	2016-10-06
2515	062B	1016515039	2016-10-01	0.47	0	2016-11-10
2515	062B	1116515039	2016-11-01	0.38	0	2016-12-07
2515	062B	1216515039	2016-12-01	0.43	0	2016-12-15
2515	062B	0117515039	2017-01-01	0.54	0	2017-02-06
2515	062B	0217515039	2017-02-01	0.87	0	2017-03-02
2515	062B	0417515039	2017-04-01	0.81	0	2017-05-04
2515	062B	0517515039	2017-05-01	0.67	0	2017-06-02
2515	062B	0617515039	2017-06-01	1.09	0	2017-07-04
2515	062B	0717515039	2017-07-01	0.87	0	2017-08-04
2515	062B	0317515039	2017-03-01	0.74	0	2017-03-30
2515	062B	0917515039	2017-09-01	1.65	0	2017-10-04
2515	062B	0817515039	2017-08-01	0.88	0	2017-09-07
2515	062B	1017515039	2017-10-01	3.2	0	2017-11-03
2515	062B	1117515039	2017-11-01	3.57	0	2017-12-06
2515	062B	1217515039	2017-12-01	1.65	0	2017-12-19
2515	062B	0118515039	2018-01-01	4.09	0	2018-02-07
2515	062B	0218515039	2018-02-01	9.37	0	2018-03-05
2515	062B	0418515039	2018-04-01	16.98	0	2018-05-10
2515	062B	0818515039	2018-08-01	409.16	0	2018-09-05
2515	062B	0318515039	2018-03-01	7.57	0	2018-04-11
2515	062B	0518515039	2018-05-01	18.43	0	2018-05-31
2515	062B	0618515039	2018-06-01	159.96	0	2018-07-05
2515	062B	0718515039	2018-07-01	142.7	0	2018-08-08
2515	062B	0918515039	2018-09-01	1013.24	0	2018-10-09
2515	062B	1218515039	2018-12-01	5386.23	0	2018-12-17
2515	062B	0219515039	2019-02-01	29073.52	0	2019-03-01
2515	062B	0319515039	2019-03-01	26731.98	0	2019-04-08
2515	062B	0419515039	2019-04-01	80264.73	0	2019-05-06
2515	063B	0219515040	2019-02-01	28300.33	0	2019-03-01
2515	063B	0319515040	2019-03-01	25534.28	0	2019-04-08
2515	063B	0419515040	2019-04-01	78684.02	0	2019-05-06
2515	064B	0419515041	2019-04-01	73297.09	0	2019-05-06
2515	065B	0119515042	2019-01-01	82837.24	28210.24	2019-02-11
2515	065B	0219515042	2019-02-01	65491.54	0	2019-03-01
2515	065B	0319515042	2019-03-01	57525.8	0	2019-04-08
2515	065B	0419515042	2019-04-01	177266.11	0	2019-05-06
2515	071B	0119515043	2019-01-01	129780.75	0	2019-02-11
2515	071B	0219515043	2019-02-01	100493.93	0	2019-03-01
2515	071B	0319515043	2019-03-01	90671.66	0	2019-04-08
2515	071B	0419515043	2019-04-01	279405.24	0	2019-05-06
2515	072B	0419515044	2019-04-01	78684.02	0	2019-05-06
2515	073B	0419515045	2019-04-01	177266.11	0	2019-05-06
2515	081B	0419515046	2019-04-01	204587.43	0	2019-05-06
2515	082B	0419515047	2019-04-01	78684.02	0	2019-05-06
2515	083B	0419515048	2019-04-01	177266.11	0	2019-05-06
2515	PH1B	0419515049	2019-04-01	330883.92	0	2019-05-06
2515	PH2B	0219515050	2019-02-01	56018.97	0	2019-03-01
2515	PH2B	0319515050	2019-03-01	50543.67	0	2019-04-08
2515	PH2B	0419515050	2019-04-01	155750.66	0	2019-05-06
2515	PH3B	0419515051	2019-04-01	232862.39	0	2019-05-06
2521	LOC09	0319521002	2019-03-01	9332.35	0	2019-04-10
2521	LOC10	0319521003	2019-03-01	8520.85	0	2019-04-10
2521	LOC11	0219521004	2019-02-01	12362.25	2557.4	2019-03-01
2521	LOC11	0319521004	2019-03-01	13592.79	0	2019-04-10
2521	LOC12	1018521005	2018-10-01	156.55	0	2018-11-10
2521	LOC12	1118521005	2018-11-01	412.97	0	2018-12-12
2521	LOC12	1218521005	2018-12-01	240.04	0	2019-01-09
2521	LOC12	0818521005	2018-08-01	16.39	0	2018-09-11
2521	LOC12	0518521005	2018-05-01	1.49	0	2018-06-07
2521	LOC12	0618521005	2018-06-01	4.13	0	2018-07-10
2521	LOC12	0718521005	2018-07-01	6.83	0	2018-08-07
2521	LOC12	0918521005	2018-09-01	39.69	0	2018-10-10
2521	LOC12	0119521005	2019-01-01	1649.33	0	2019-02-11
2521	LOC12	0219521005	2019-02-01	3134.83	0	2019-03-01
2521	LOC12	0319521005	2019-03-01	3532.87	0	2019-04-10
2521	LOC13	1018521006	2018-10-01	411.56	0	2018-11-10
2521	LOC13	1118521006	2018-11-01	1084.14	0	2018-12-12
2521	LOC13	1218521006	2018-12-01	610.34	0	2019-01-09
2521	LOC13	0119521006	2019-01-01	4363.21	0	2019-02-11
2521	LOC13	0219521006	2019-02-01	8295.4	0	2019-03-01
2521	LOC13	0319521006	2019-03-01	9349.02	0	2019-04-10
2521	LOC14	1018521007	2018-10-01	617.15	0	2018-11-10
2521	LOC14	1118521007	2018-11-01	1627.7	0	2018-12-12
2521	LOC14	1218521007	2018-12-01	946.46	0	2019-01-09
2521	LOC14	0816521007	2016-08-01	0.25	0	2016-09-08
2521	LOC14	0916521007	2016-09-01	0.1	0	2016-10-06
2521	LOC14	1016521007	2016-10-01	0.29	0	2016-11-10
2521	LOC14	1116521007	2016-11-01	0.12	0	2016-12-08
2521	LOC14	1216521007	2016-12-01	0.11	0	2016-12-15
2521	LOC14	0117521007	2017-01-01	0.23	0	2017-02-08
2521	LOC14	0217521007	2017-02-01	0.16	0	2017-03-02
2521	LOC14	0317521007	2017-03-01	0.31	0	2017-03-30
2521	LOC14	0417521007	2017-04-01	0.32	0	2017-04-27
2521	LOC14	0517521007	2017-05-01	0.31	0	2017-06-05
2521	LOC14	0617521007	2017-06-01	0.42	0	2017-07-06
2521	LOC14	0717521007	2017-07-01	0.48	0	2017-08-08
2521	LOC14	0817521007	2017-08-01	0.57	0	2017-09-06
2521	LOC14	0917521007	2017-09-01	0.56	0	2017-10-11
2521	LOC14	1017521007	2017-10-01	1.05	0	2017-11-08
2521	LOC14	1117521007	2017-11-01	1.07	0	2017-12-07
2521	LOC14	1217521007	2017-12-01	1.07	0	2017-12-15
2521	LOC14	0118521007	2018-01-01	2.51	0	2018-02-06
2521	LOC14	0218521007	2018-02-01	1.04	0	2018-03-13
2521	LOC14	0818521007	2018-08-01	64.86	0	2018-09-11
2521	LOC14	0318521007	2018-03-01	3.81	0	2018-04-12
2521	LOC14	0418521007	2018-04-01	5.69	0	2018-05-14
2521	LOC14	0518521007	2018-05-01	6.18	0	2018-06-07
2521	LOC14	0618521007	2018-06-01	16.66	0	2018-07-10
2521	LOC14	0718521007	2018-07-01	27.54	0	2018-08-07
2521	LOC14	0918521007	2018-09-01	156.63	0	2018-10-10
2521	LOC14	0119521007	2019-01-01	6500.7	0	2019-02-11
2521	LOC14	0219521007	2019-02-01	12355.24	0	2019-03-01
2521	LOC14	0319521007	2019-03-01	13923.97	0	2019-04-10
2521	LOC17	0319521010	2019-03-01	13998.53	0	2019-04-10
2521	LOC19	0319521012	2019-03-01	21302.14	0	2019-04-10
2521	LOC1M	0219521013	2019-02-01	30426.79	0	2019-03-01
2521	LOC1M	0319521013	2019-03-01	33880.53	0	2019-04-10
2521	LOC20	0219521014	2019-02-01	13482.52	0	2019-03-01
2521	LOC20	0319521014	2019-03-01	15012.91	0	2019-04-10
2521	LOC21	0319521015	2019-03-01	15215.79	0	2019-04-10
2521	LOC23	0319521017	2019-03-01	83585.47	0	2019-04-10
2521	LOC25	0918521019	2018-09-01	140.28	0	2018-10-10
2521	LOC25	1018521019	2018-10-01	552.63	0	2018-11-10
2521	LOC25	1118521019	2018-11-01	1457.6	0	2018-12-12
2521	LOC25	1218521019	2018-12-01	847.55	0	2019-01-09
2521	LOC25	0816521019	2016-08-01	0.22	0	2016-09-08
2521	LOC25	0916521019	2016-09-01	0.09	0	2016-10-06
2521	LOC25	1016521019	2016-10-01	0.26	0	2016-11-10
2521	LOC25	1116521019	2016-11-01	0.11	0	2016-12-08
2521	LOC25	1216521019	2016-12-01	0.1	0	2016-12-15
2521	LOC25	0117521019	2017-01-01	0.21	0	2017-02-08
2521	LOC25	0217521019	2017-02-01	0.14	0	2017-03-02
2521	LOC25	0317521019	2017-03-01	0.27	0	2017-03-30
2521	LOC25	0417521019	2017-04-01	0.28	0	2017-04-27
2521	LOC25	0517521019	2017-05-01	0.28	0	2017-06-05
2521	LOC25	0617521019	2017-06-01	0.37	0	2017-07-06
2521	LOC25	0717521019	2017-07-01	0.43	0	2017-08-08
2521	LOC25	0817521019	2017-08-01	0.51	0	2017-09-06
2521	LOC25	1017521019	2017-10-01	0.94	0	2017-11-08
2521	LOC25	0917521019	2017-09-01	0.5	0	2017-10-11
2521	LOC25	1117521019	2017-11-01	0.96	0	2017-12-07
2521	LOC25	1217521019	2017-12-01	0.96	0	2017-12-15
2521	LOC25	0118521019	2018-01-01	2.25	0	2018-02-06
2521	LOC25	0218521019	2018-02-01	0.93	0	2018-03-13
2521	LOC25	0818521019	2018-08-01	58.05	0	2018-09-11
2521	LOC25	0318521019	2018-03-01	3.41	0	2018-04-12
2521	LOC25	0418521019	2018-04-01	5.1	0	2018-05-14
2521	LOC25	0518521019	2018-05-01	5.53	0	2018-06-07
2521	LOC25	0618521019	2018-06-01	14.92	0	2018-07-10
2521	LOC25	0718521019	2018-07-01	24.66	0	2018-08-07
2521	LOC25	0119521019	2019-01-01	5821.49	0	2019-02-11
2521	LOC25	0219521019	2019-02-01	11064.38	0	2019-03-01
2521	LOC25	0319521019	2019-03-01	12469.22	0	2019-04-10
2521	LOC26	0218521020	2018-02-01	0.3	0	2018-03-13
2521	LOC2M	0119521021	2019-01-01	24157.88	15817.97	2019-02-11
2521	LOC2M	0219521021	2019-02-01	45901.21	0	2019-03-01
2521	LOC2M	0319521021	2019-03-01	50516.44	0	2019-04-10
2521	LOC3M	0918521022	2018-09-01	568.01	0	2018-10-10
2521	LOC3M	1018521022	2018-10-01	2238.12	0	2018-11-10
2521	LOC3M	1118521022	2018-11-01	5903.34	0	2018-12-12
2521	LOC3M	1218521022	2018-12-01	3432.7	0	2019-01-09
2521	LOC3M	1016521022	2016-10-01	1.09	0	2016-11-10
2521	LOC3M	1116521022	2016-11-01	0.41	0	2016-12-08
2521	LOC3M	1216521022	2016-12-01	0.36	0	2016-12-15
2521	LOC3M	0117521022	2017-01-01	0.83	0	2017-02-08
2521	LOC3M	0217521022	2017-02-01	0.57	0	2017-03-02
2521	LOC3M	0317521022	2017-03-01	1.09	0	2017-03-30
2521	LOC3M	0417521022	2017-04-01	1.14	0	2017-04-27
2521	LOC3M	0517521022	2017-05-01	1.1	0	2017-06-05
2521	LOC3M	0617521022	2017-06-01	1.5	0	2017-07-06
2521	LOC3M	0717521022	2017-07-01	1.72	0	2017-08-08
2521	LOC3M	0817521022	2017-08-01	2.06	0	2017-09-06
2521	LOC3M	1017521022	2017-10-01	3.78	0	2017-11-08
2521	LOC3M	0917521022	2017-09-01	2.02	0	2017-10-11
2521	LOC3M	1117521022	2017-11-01	3.88	0	2017-12-07
2521	LOC3M	1217521022	2017-12-01	3.88	0	2017-12-15
2521	LOC3M	0118521022	2018-01-01	9.1	0	2018-02-06
2521	LOC3M	0218521022	2018-02-01	3.75	0	2018-03-13
2521	LOC3M	0818521022	2018-08-01	235.17	0	2018-09-11
2521	LOC3M	0318521022	2018-03-01	13.81	0	2018-04-12
2521	LOC3M	0418521022	2018-04-01	20.63	0	2018-05-14
2521	LOC3M	0518521022	2018-05-01	22.38	0	2018-06-07
2521	LOC3M	0618521022	2018-06-01	60.41	0	2018-07-10
2521	LOC3M	0718521022	2018-07-01	99.86	0	2018-08-07
2521	LOC3M	0119521022	2019-01-01	23577.03	0	2019-02-11
2521	LOC3M	0219521022	2019-02-01	44810.77	0	2019-03-01
2521	LOC3M	0319521022	2019-03-01	50500.36	0	2019-04-10
2521	LOC5M	0918521024	2018-09-01	671.69	0	2018-10-10
2521	LOC5M	1018521024	2018-10-01	2661.59	0	2018-11-10
2521	LOC5M	1118521024	2018-11-01	7010.9	0	2018-12-12
2521	LOC5M	1218521024	2018-12-01	4102.16	0	2019-01-09
2521	LOC5M	0119521024	2019-01-01	28225.61	0	2019-02-11
2521	LOC5M	0219521024	2019-02-01	53653.68	0	2019-03-01
2521	LOC5M	0319521024	2019-03-01	60467.13	0	2019-04-10
2521	LOC6M	0319521025	2019-03-01	111772.74	5.61	2019-04-10
2521	LOC7M	0219521026	2019-02-01	78526.63	78523.63	2019-03-01
2521	LOC7M	0319521026	2019-03-01	87440.14	0	2019-04-10
2521	OF113	0918521039	2018-09-01	705.19	0	2018-10-10
2521	OF113	1218521039	2018-12-01	644.67	0	2019-01-09
2521	OF113	1018521039	2018-10-01	423.45	0	2018-11-10
2521	OF113	1118521039	2018-11-01	1102.2	0	2018-12-12
2521	OF113	0416521039	2016-04-01	0.06	0	2016-05-05
2521	OF113	0616521039	2016-06-01	0.1	0	2016-07-07
2521	OF113	0716521039	2016-07-01	0.08	0	2016-08-04
2521	OF113	0516521039	2016-05-01	0.07	0	2016-06-03
2521	OF113	0816521039	2016-08-01	0.15	0	2016-09-08
2521	OF113	0916521039	2016-09-01	0.07	0	2016-10-06
2521	OF113	1016521039	2016-10-01	0.2	0	2016-11-10
2521	OF113	1116521039	2016-11-01	0.09	0	2016-12-08
2521	OF113	1216521039	2016-12-01	0.08	0	2016-12-15
2521	OF113	0117521039	2017-01-01	0.16	0	2017-02-08
2521	OF113	0217521039	2017-02-01	0.11	0	2017-03-02
2521	OF113	0317521039	2017-03-01	0.21	0	2017-03-30
2521	OF113	0417521039	2017-04-01	0.22	0	2017-04-27
2521	OF113	0517521039	2017-05-01	0.21	0	2017-06-05
2521	OF113	0617521039	2017-06-01	0.29	0	2017-07-06
2521	OF113	0717521039	2017-07-01	0.33	0	2017-08-08
2521	OF113	0817521039	2017-08-01	0.39	0	2017-09-06
2521	OF113	1017521039	2017-10-01	0.71	0	2017-11-08
2521	OF113	0917521039	2017-09-01	0.38	0	2017-10-11
2521	OF113	1117521039	2017-11-01	0.73	0	2017-12-07
2521	OF113	1217521039	2017-12-01	0.73	0	2017-12-15
2521	OF113	0118521039	2018-01-01	1.69	0	2018-02-06
2521	OF113	0818521039	2018-08-01	43.57	0	2018-09-11
2521	OF113	0218521039	2018-02-01	0.7	0	2018-03-13
2521	OF113	0318521039	2018-03-01	2.56	0	2018-04-12
2521	OF113	0418521039	2018-04-01	3.83	0	2018-05-14
2521	OF113	0518521039	2018-05-01	4.15	0	2018-06-07
2521	OF113	0618521039	2018-06-01	11.19	0	2018-07-10
2521	OF113	0718521039	2018-07-01	18.5	0	2018-08-07
2521	OF113	0119521039	2019-01-01	4375.1	0	2019-02-11
2521	OF113	0219521039	2019-02-01	8307.29	0	2019-03-01
2521	OF113	0319521039	2019-03-01	9360.92	0	2019-04-10
2521	OF114	0918521040	2018-09-01	731.05	0	2018-10-10
2521	OF114	1218521040	2018-12-01	800.18	0	2019-01-09
2521	OF114	1018521040	2018-10-01	524.93	0	2018-11-10
2521	OF114	1118521040	2018-11-01	1369.61	0	2018-12-12
2521	OF114	0416521040	2016-04-01	0.88	0	2016-05-05
2521	OF114	0716521040	2016-07-01	0.42	0	2016-08-04
2521	OF114	0516521040	2016-05-01	0.38	0	2016-06-03
2521	OF114	0616521040	2016-06-01	0.42	0	2016-07-07
2521	OF114	0816521040	2016-08-01	0.51	0	2016-09-08
2521	OF114	0916521040	2016-09-01	0.42	0	2016-10-06
2521	OF114	1016521040	2016-10-01	0.59	0	2016-11-10
2521	OF114	1116521040	2016-11-01	0.45	0	2016-12-08
2521	OF114	1216521040	2016-12-01	0.44	0	2016-12-15
2521	OF114	0117521040	2017-01-01	0.55	0	2017-02-08
2521	OF114	0217521040	2017-02-01	0.49	0	2017-03-02
2521	OF114	0317521040	2017-03-01	0.62	0	2017-03-30
2521	OF114	0417521040	2017-04-01	0.63	0	2017-04-27
2521	OF114	0517521040	2017-05-01	0.63	0	2017-06-05
2521	OF114	0617521040	2017-06-01	0.73	0	2017-07-06
2521	OF114	0717521040	2017-07-01	0.78	0	2017-08-08
2521	OF114	0817521040	2017-08-01	0.86	0	2017-09-06
2521	OF114	0917521040	2017-09-01	0.86	0	2017-10-11
2521	OF114	1017521040	2017-10-01	1.27	0	2017-11-08
2521	OF114	1117521040	2017-11-01	1	0	2017-12-07
2521	OF114	1217521040	2017-12-01	1.3	0	2017-12-15
2521	OF114	0118521040	2018-01-01	2.8	0	2018-02-06
2521	OF114	0818521040	2018-08-01	54.29	0	2018-09-11
2521	OF114	0218521040	2018-02-01	1.28	0	2018-03-13
2521	OF114	0318521040	2018-03-01	3.6	0	2018-04-12
2521	OF114	0418521040	2018-04-01	4.88	0	2018-05-14
2521	OF114	0518521040	2018-05-01	5.28	0	2018-06-07
2521	OF114	0618521040	2018-06-01	14.05	0	2018-07-10
2521	OF114	0718521040	2018-07-01	23.14	0	2018-08-07
2521	OF114	0119521040	2019-01-01	5442.5	0	2019-02-11
2521	OF114	0219521040	2019-02-01	10335.88	0	2019-03-01
2521	OF114	0319521040	2019-03-01	11647.06	0	2019-04-10
2521	OF115	0918521041	2018-09-01	810.4	0	2018-10-10
2521	OF115	1218521041	2018-12-01	1280.39	0	2019-01-09
2521	OF115	1018521041	2018-10-01	837.96	0	2018-11-10
2521	OF115	1118521041	2018-11-01	2195.49	0	2018-12-12
2521	OF115	0110521041	2010-01-01	0.01	0	2010-02-10
2521	OF115	0210521041	2010-02-01	0.01	0	2010-03-09
2521	OF115	0416521041	2016-04-01	0.12	0	2016-05-05
2521	OF115	0716521041	2016-07-01	0.16	0	2016-08-04
2521	OF115	0516521041	2016-05-01	0.13	0	2016-06-03
2521	OF115	0616521041	2016-06-01	0.2	0	2016-07-07
2521	OF115	0816521041	2016-08-01	0.29	0	2016-09-08
2521	OF115	0916521041	2016-09-01	0.14	0	2016-10-06
2521	OF115	1016521041	2016-10-01	0.41	0	2016-11-10
2521	OF115	1116521041	2016-11-01	0.17	0	2016-12-08
2521	OF115	1216521041	2016-12-01	0.16	0	2016-12-15
2521	OF115	0117521041	2017-01-01	0.32	0	2017-02-08
2521	OF115	0217521041	2017-02-01	0.23	0	2017-03-02
2521	OF115	0317521041	2017-03-01	0.42	0	2017-03-30
2521	OF115	0417521041	2017-04-01	0.44	0	2017-04-27
2521	OF115	0517521041	2017-05-01	0.42	0	2017-06-05
2521	OF115	0617521041	2017-06-01	0.57	0	2017-07-06
2521	OF115	0717521041	2017-07-01	0.65	0	2017-08-08
2521	OF115	0817521041	2017-08-01	0.78	0	2017-09-06
2521	OF115	0917521041	2017-09-01	0.76	0	2017-10-11
2521	OF115	1017521041	2017-10-01	1.41	0	2017-11-08
2521	OF115	1117521041	2017-11-01	1.45	0	2017-12-07
2521	OF115	1217521041	2017-12-01	1.45	0	2017-12-15
2521	OF115	0118521041	2018-01-01	3.38	0	2018-02-06
2521	OF115	0818521041	2018-08-01	87.14	0	2018-09-11
2521	OF115	0218521041	2018-02-01	1.4	0	2018-03-13
2521	OF115	0318521041	2018-03-01	5.13	0	2018-04-12
2521	OF115	0418521041	2018-04-01	7.66	0	2018-05-14
2521	OF115	0518521041	2018-05-01	8.31	0	2018-06-07
2521	OF115	0618521041	2018-06-01	22.39	0	2018-07-10
2521	OF115	0718521041	2018-07-01	37	0	2018-08-07
2521	OF115	0119521041	2019-01-01	8741.2	0	2019-02-11
2521	OF115	0219521041	2019-02-01	16605.59	0	2019-03-01
2521	OF115	0319521041	2019-03-01	18712.85	0	2019-04-10
2521	OF116	0918521042	2018-09-01	740.29	0	2018-10-10
2521	OF116	1218521042	2018-12-01	856.56	0	2019-01-09
2521	OF116	1018521042	2018-10-01	561.64	0	2018-11-10
2521	OF116	1118521042	2018-11-01	1466.61	0	2018-12-12
2521	OF116	0416521042	2016-04-01	0.08	0	2016-05-05
2521	OF116	0716521042	2016-07-01	0.11	0	2016-08-04
2521	OF116	0516521042	2016-05-01	0.09	0	2016-06-03
2521	OF116	0616521042	2016-06-01	0.13	0	2016-07-07
2521	OF116	0816521042	2016-08-01	0.2	0	2016-09-08
2521	OF116	0916521042	2016-09-01	0.1	0	2016-10-06
2521	OF116	1016521042	2016-10-01	0.27	0	2016-11-10
